id,AL,AZ,CA,CO,CT,FL,GA,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MO,NJ,NM,NY,NC,OH,OK,OR,PA,SC,TN,TX,VA,WA,WV,WI,cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive,cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive,cli,ili,wnohh_cmnty_cli,wbelief_masking_effective,wbelief_distancing_effective,wcovid_vaccinated_friends,wlarge_event_indoors,wothers_masked_public,wothers_distanced_public,wshop_indoors,wrestaurant_indoors,wworried_catch_covid,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask_7d,public_transit,worried_finances,tested_positive
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5094132,1.5111687,18.5833623,67.252492,69.6544684,53.1025559,23.938506,13.6051879,20.3880006,69.7092317,36.9772704,48.7457413,23.8574045,18.7572471,63.489086,2.3967911,39.7052378,20.1492796,1.4517979,1.4604722,17.6843368,66.918635,68.8190583,51.8906692,24.3283344,13.8164488,19.0489254,68.7634822,37.683364,47.378368,22.8973749,18.0375055,63.2990505,2.7085375,39.4148163,18.876155,1.3081069,1.3662995,17.1943118,66.8159134,69.7844588,51.9826118,24.7799644,13.2712922,19.2711132,69.0501796,38.1021415,47.1302226,22.6862024,17.5832827,62.9250333,2.7044144,39.2223292,18.4907873
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4517979,1.4604722,17.6843368,66.918635,68.8190583,51.8906692,24.3283344,13.8164488,19.0489254,68.7634822,37.683364,47.378368,22.8973749,18.0375055,63.2990505,2.7085375,39.4148163,18.876155,1.3081069,1.3662995,17.1943118,66.8159134,69.7844588,51.9826118,24.7799644,13.2712922,19.2711132,69.0501796,38.1021415,47.1302226,22.6862024,17.5832827,62.9250333,2.7044144,39.2223292,18.4907873,1.4066717,1.4885431,16.7334421,66.4901869,69.9914324,53.2732347,24.1026928,13.9832648,19.5005086,68.8471561,37.3386819,46.5984212,22.4847582,17.2195148,62.771641,2.4749729,41.2090731,16.3292532
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3081069,1.3662995,17.1943118,66.8159134,69.7844588,51.9826118,24.7799644,13.2712922,19.2711132,69.0501796,38.1021415,47.1302226,22.6862024,17.5832827,62.9250333,2.7044144,39.2223292,18.4907873,1.4066717,1.4885431,16.7334421,66.4901869,69.9914324,53.2732347,24.1026928,13.9832648,19.5005086,68.8471561,37.3386819,46.5984212,22.4847582,17.2195148,62.771641,2.4749729,41.2090731,16.3292532,1.3810603,1.4533652,16.5802584,66.2127066,70.0198552,53.6913889,24.0708759,14.1336896,18.938706,68.6946204,37.5435369,46.8584001,22.5062611,17.1282038,62.5461163,2.5699402,39.6368156,16.5229315
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4066717,1.4885431,16.7334421,66.4901869,69.9914324,53.2732347,24.1026928,13.9832648,19.5005086,68.8471561,37.3386819,46.5984212,22.4847582,17.2195148,62.771641,2.4749729,41.2090731,16.3292532,1.3810603,1.4533652,16.5802584,66.2127066,70.0198552,53.6913889,24.0708759,14.1336896,18.938706,68.6946204,37.5435369,46.8584001,22.5062611,17.1282038,62.5461163,2.5699402,39.6368156,16.5229315,1.3071366,1.4000208,17.2911884,66.5879075,69.9148818,52.8169902,24.2937487,13.1549321,18.6985353,69.3391911,37.7518741,44.6336521,22.3699515,17.0692625,61.5174656,2.6100856,38.9268172,15.578501
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3810603,1.4533652,16.5802584,66.2127066,70.0198552,53.6913889,24.0708759,14.1336896,18.938706,68.6946204,37.5435369,46.8584001,22.5062611,17.1282038,62.5461163,2.5699402,39.6368156,16.5229315,1.3071366,1.4000208,17.2911884,66.5879075,69.9148818,52.8169902,24.2937487,13.1549321,18.6985353,69.3391911,37.7518741,44.6336521,22.3699515,17.0692625,61.5174656,2.6100856,38.9268172,15.578501,1.2066587,1.2734633,16.7050534,64.4784135,67.9273731,50.8512973,24.72674,13.6215668,18.0349804,69.5644346,38.3418333,44.1002994,21.4405882,16.207377,60.9336466,2.7907493,39.840306,14.1719204
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3071366,1.4000208,17.2911884,66.5879075,69.9148818,52.8169902,24.2937487,13.1549321,18.6985353,69.3391911,37.7518741,44.6336521,22.3699515,17.0692625,61.5174656,2.6100856,38.9268172,15.578501,1.2066587,1.2734633,16.7050534,64.4784135,67.9273731,50.8512973,24.72674,13.6215668,18.0349804,69.5644346,38.3418333,44.1002994,21.4405882,16.207377,60.9336466,2.7907493,39.840306,14.1719204,1.0356174,1.1044465,16.6251359,64.0423156,68.5254656,50.6232185,23.5909405,13.8543395,18.4128161,68.3014033,37.0562747,43.0860428,20.7852758,16.217217,60.9126344,2.9170926,39.2550517,13.9259455
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066587,1.2734633,16.7050534,64.4784135,67.9273731,50.8512973,24.72674,13.6215668,18.0349804,69.5644346,38.3418333,44.1002994,21.4405882,16.207377,60.9336466,2.7907493,39.840306,14.1719204,1.0356174,1.1044465,16.6251359,64.0423156,68.5254656,50.6232185,23.5909405,13.8543395,18.4128161,68.3014033,37.0562747,43.0860428,20.7852758,16.217217,60.9126344,2.9170926,39.2550517,13.9259455,1.0654847,1.1373113,16.7608568,65.5451218,70.2090842,51.791807,24.6337198,14.1418037,19.9933574,69.9695938,37.4257018,43.7858238,20.6216703,15.8412583,60.2969932,2.5912699,39.0888993,14.36337
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0356174,1.1044465,16.6251359,64.0423156,68.5254656,50.6232185,23.5909405,13.8543395,18.4128161,68.3014033,37.0562747,43.0860428,20.7852758,16.217217,60.9126344,2.9170926,39.2550517,13.9259455,1.0654847,1.1373113,16.7608568,65.5451218,70.2090842,51.791807,24.6337198,14.1418037,19.9933574,69.9695938,37.4257018,43.7858238,20.6216703,15.8412583,60.2969932,2.5912699,39.0888993,14.36337,1.1471006,1.1643572,16.4830584,65.3403774,69.7045073,52.3974901,24.5831572,13.7331203,19.6451017,69.6702184,37.1436869,43.2377694,20.2250877,15.6836065,60.6284577,2.6234658,38.3245181,15.5106489
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0654847,1.1373113,16.7608568,65.5451218,70.2090842,51.791807,24.6337198,14.1418037,19.9933574,69.9695938,37.4257018,43.7858238,20.6216703,15.8412583,60.2969932,2.5912699,39.0888993,14.36337,1.1471006,1.1643572,16.4830584,65.3403774,69.7045073,52.3974901,24.5831572,13.7331203,19.6451017,69.6702184,37.1436869,43.2377694,20.2250877,15.6836065,60.6284577,2.6234658,38.3245181,15.5106489,1.1609655,1.1374604,15.9259227,66.3420299,69.7040558,51.8208968,25.1723213,12.7362389,19.6863061,69.8948939,36.8189359,43.0365162,19.8437536,15.1563406,60.7647994,2.893464,36.6924306,14.5280436
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1471006,1.1643572,16.4830584,65.3403774,69.7045073,52.3974901,24.5831572,13.7331203,19.6451017,69.6702184,37.1436869,43.2377694,20.2250877,15.6836065,60.6284577,2.6234658,38.3245181,15.5106489,1.1609655,1.1374604,15.9259227,66.3420299,69.7040558,51.8208968,25.1723213,12.7362389,19.6863061,69.8948939,36.8189359,43.0365162,19.8437536,15.1563406,60.7647994,2.893464,36.6924306,14.5280436,1.1767306,1.1745292,15.9926797,65.2945199,70.1208184,52.7154651,25.001816,12.2264116,20.6291344,69.0986769,36.3941122,41.743953,19.9478202,15.5939081,60.5997237,2.7019906,38.3231913,13.6732144
